step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
12,CASH_OUT,175741.74,C1764679972,5821.0,0.0,C1653844940,1418334.62,1594076.36,0,0
11,PAYMENT,17778.88,C46359160,25234.0,7455.12,M1888688452,0.0,0.0,0,0
6,PAYMENT,831.53,C986326393,109.0,0.0,M1268858861,0.0,0.0,0,0
13,PAYMENT,979.67,C585790262,0.0,0.0,M1810995312,0.0,0.0,0,0
12,CASH_IN,199326.76,C710424178,1709330.99,1908657.75,C741431520,1585622.45,1386295.69,0,0
7,PAYMENT,1709.18,C481264792,14656.0,12946.82,M1478629136,0.0,0.0,0,0
9,PAYMENT,43349.48,C1605154940,11609.0,0.0,M1343129390,0.0,0.0,0,0
12,CASH_IN,74617.48,C1771331528,22827.0,97444.48,C905062857,0.0,0.0,0,0
8,TRANSFER,92098.91,C576078118,0.0,0.0,C1359291582,679763.42,1375886.75,0,0
9,PAYMENT,4495.68,C988503,977022.0,972526.32,M468221050,0.0,0.0,0,0
9,CASH_IN,126224.26,C1693100982,40338.0,166562.26,C826383690,971834.02,845609.77,0,0
9,CASH_IN,153516.07,C1975074869,313339.0,466855.07,C1907587591,698962.55,461767.89,0,0
10,PAYMENT,11037.31,C11892083,0.0,0.0,M1590458712,0.0,0.0,0,0
11,CASH_OUT,422596.03,C809925607,153360.85,0.0,C98133962,548605.0,1049318.07,0,0
10,CASH_IN,311860.72,C1168945965,2538241.2,2850101.91,C1245203346,489690.73,309606.53,0,0
9,CASH_IN,216710.69,C1270475241,16028.3,232739.0,C1420439449,32629.0,859115.36,0,0
10,PAYMENT,28475.62,C120767838,0.0,0.0,M2031773376,0.0,0.0,0,0
10,PAYMENT,4901.54,C1781246059,386375.01,381473.47,M344932906,0.0,0.0,0,0
10,CASH_OUT,98471.83,C271750797,0.0,0.0,C427998326,161125.75,259597.58,0,0
8,PAYMENT,15316.3,C1198017410,11494.0,0.0,M2106154382,0.0,0.0,0,0
13,PAYMENT,22560.12,C1832605721,409821.81,387261.69,M1199058484,0.0,0.0,0,0
10,CASH_OUT,9670.1,C563160334,10388.0,717.9,C1034902119,1372764.67,1382434.77,0,0
8,CASH_IN,188674.18,C1480691817,133245.0,321919.18,C1249366693,0.0,0.0,0,0
9,CASH_OUT,180986.01,C1394492974,0.0,0.0,C955352041,665569.51,1306929.43,0,0
13,CASH_IN,397459.75,C1215815412,5058.0,402517.75,C90279292,0.0,0.0,0,0
12,CASH_OUT,141207.11,C1414572804,0.0,0.0,C1954455488,276928.8,611637.17,0,0
8,PAYMENT,12237.33,C1522888621,25147.0,12909.67,M2046513707,0.0,0.0,0,0
7,PAYMENT,10903.02,C993587250,5626.0,0.0,M400048100,0.0,0.0,0,0
10,CASH_OUT,175923.94,C1943122114,0.0,0.0,C1475909248,323552.75,235179.1,0,0
8,TRANSFER,1314262.8,C2011943626,0.0,0.0,C518185827,11824.86,1326087.65,0,0
8,PAYMENT,1141.21,C1710166542,63837.0,62695.79,M1273811322,0.0,0.0,0,0
9,PAYMENT,4646.57,C1419398272,11581.0,6934.43,M1973975948,0.0,0.0,0,0
12,TRANSFER,397366.97,C1458678883,0.0,0.0,C1390358265,2574833.86,2700464.5,0,0
13,TRANSFER,573704.1,C818166913,0.0,0.0,C1245689449,1955132.87,2528836.97,0,0
7,CASH_OUT,147392.81,C1942990808,40159.0,0.0,C2063763486,113164.98,171172.6,0,0
9,PAYMENT,7249.47,C2044344441,416.0,0.0,M1694741744,0.0,0.0,0,0
9,TRANSFER,3140704.8,C86785535,94784.91,0.0,C769342184,17918720.87,20309687.62,0,0
13,CASH_OUT,66406.13,C1261802060,0.0,0.0,C915876440,902761.27,969167.39,0,0
9,CASH_OUT,48894.56,C839538919,0.0,0.0,C1148798076,533133.47,609154.68,0,0
8,TRANSFER,882252.93,C1092056555,12542.0,0.0,C316919580,27765.93,72978.01,0,0
10,PAYMENT,14029.05,C1546782681,8413.66,0.0,M1980792635,0.0,0.0,0,0
8,PAYMENT,9711.25,C463592982,0.0,0.0,M1638110398,0.0,0.0,0,0
12,PAYMENT,28017.52,C1581676807,202188.1,174170.58,M1360617229,0.0,0.0,0,0
8,CASH_IN,124642.12,C226098505,3378786.21,3503428.33,C1205603525,273903.95,149261.82,0,0
10,TRANSFER,797673.34,C1752847180,0.0,0.0,C2141776586,1420866.5,2847553.8,0,0
12,PAYMENT,1147.75,C1191477370,0.0,0.0,M1195588537,0.0,0.0,0,0
8,CASH_OUT,71344.25,C134148013,430086.8,358742.56,C186847111,95938.39,91918.95,0,0
9,PAYMENT,32451.45,C1579402089,223576.0,191124.55,M117068990,0.0,0.0,0,0
9,TRANSFER,300298.51,C1727884559,0.0,0.0,C1075564985,5735765.27,6399876.57,0,0
12,CASH_OUT,87207.21,C2089485205,199341.0,112133.79,C1238739669,4565190.76,4647750.07,0,0
12,CASH_OUT,54956.11,C1166838092,189401.0,134444.89,C31789747,1844506.13,1899462.24,0,0
10,CASH_OUT,308.22,C304492801,163.0,0.0,C1023526764,2189.0,874756.87,0,0
12,CASH_IN,181971.68,C2233239,9511010.34,9692982.02,C1652252251,239696.51,57724.84,0,0
9,CASH_OUT,121042.54,C1254664777,0.0,0.0,C1549680453,190521.78,311564.31,0,0
9,CASH_IN,224020.42,C799509257,51315.0,275335.42,C154319946,266026.73,42006.31,0,0
12,CASH_IN,4680.16,C204062458,5001680.82,5006360.98,C2059996587,2040622.84,3547523.52,0,0
10,PAYMENT,585.1,C1759897662,0.0,0.0,M525187782,0.0,0.0,0,0
9,CASH_OUT,327556.43,C647833143,46884.0,0.0,C456071357,0.0,140567.34,0,0
10,PAYMENT,2002.29,C703977016,10790.0,8787.71,M1796072004,0.0,0.0,0,0
8,TRANSFER,2023483.48,C1076586472,1343475.88,0.0,C1060041730,16532032.16,18555515.64,0,0
13,CASH_OUT,277638.06,C95383037,154537.0,0.0,C1613240876,0.0,277638.06,0,0
7,CASH_OUT,15396.52,C242806814,0.0,0.0,C1242584406,131062.59,203751.7,0,0
8,PAYMENT,7513.75,C192447326,675.0,0.0,M842696460,0.0,0.0,0,0
10,PAYMENT,14998.75,C1719094824,543.0,0.0,M2133528188,0.0,0.0,0,0
10,TRANSFER,1551093.52,C1489734210,0.0,0.0,C1691419695,3105375.95,4787063.53,0,0
9,TRANSFER,1995628.85,C1754616126,84294.8,0.0,C248609774,14982393.81,16978022.66,0,0
11,CASH_OUT,76926.49,C131858045,0.0,0.0,C662035758,4037383.13,5084859.32,0,0
12,CASH_OUT,133623.81,C1905947587,0.0,0.0,C1837095482,4029248.46,4307149.17,0,0
10,PAYMENT,1311.6,C1389319838,21654.0,20342.4,M417012678,0.0,0.0,0,0
11,PAYMENT,10268.93,C1154481693,119866.0,109597.07,M1735902215,0.0,0.0,0,0
12,CASH_IN,119341.01,C241655397,9571308.84,9690649.85,C1322642290,234133.6,0.0,0,0
10,CASH_IN,171278.27,C1061388724,9101824.51,9273102.78,C1586413785,458714.43,455725.01,0,0
8,PAYMENT,22968.6,C203488224,145329.82,122361.23,M1618635005,0.0,0.0,0,0
12,PAYMENT,14006.8,C1527469325,0.0,0.0,M895297156,0.0,0.0,0,0
13,CASH_OUT,180204.44,C1567450420,29702.0,0.0,C862584412,27681.14,329996.28,0,0
12,CASH_IN,268408.66,C951971767,4583659.95,4852068.61,C1429430290,510000.54,241591.88,0,0
11,TRANSFER,511556.74,C1148556082,0.0,0.0,C1152194738,11879421.12,12511434.84,0,0
9,CASH_IN,414567.64,C181220093,5498009.75,5912577.39,C1357984916,6730984.97,6025022.9,0,0
11,CASH_IN,239115.54,C437276659,14539353.74,14778469.28,C738124829,2914475.38,2758177.72,0,0
9,CASH_OUT,205900.37,C2086960560,0.0,0.0,C216890954,1580546.69,1907418.43,0,0
13,CASH_IN,134067.96,C977570718,5519603.72,5653671.68,C122390008,383259.16,69831.38,0,0
10,CASH_OUT,244408.85,C1685155458,0.0,0.0,C1956433714,256255.04,703185.44,0,0
8,TRANSFER,89631.24,C74534388,89631.24,0.0,C1748042844,0.0,0.0,1,0
13,PAYMENT,19514.27,C222037222,41618.7,22104.43,M887049959,0.0,0.0,0,0
8,TRANSFER,1232002.39,C1310287658,50736.0,0.0,C470644341,25852.0,1257854.39,0,0
10,TRANSFER,117177.04,C850987359,0.0,0.0,C570704876,337738.93,1287865.82,0,0
8,CASH_IN,123236.45,C107930643,2467680.05,2590916.5,C81639848,201392.54,78156.09,0,0
8,CASH_OUT,90624.82,C804594923,17152.0,0.0,C726762476,159224.52,255127.82,0,0
8,PAYMENT,3498.81,C849392227,0.0,0.0,M1088945514,0.0,0.0,0,0
10,CASH_OUT,233507.22,C968937359,0.0,0.0,C1877307077,10596607.2,10830114.42,0,0
5,CASH_OUT,268894.02,C1840987517,0.0,0.0,C1870252780,6569621.46,8598427.92,0,0
12,CASH_OUT,366624.98,C2064730146,0.0,0.0,C51506443,5437486.99,5804111.96,0,0
9,CASH_OUT,229690.11,C926588054,35254.0,0.0,C464636165,0.0,81520.22,0,0
12,CASH_IN,25564.73,C794578672,647016.0,672580.73,C1035045751,0.0,0.0,0,0
11,PAYMENT,4915.72,C837140626,39222.0,34306.28,M600470793,0.0,0.0,0,0
11,CASH_OUT,194353.55,C1469638743,0.0,0.0,C560370790,398818.04,271396.08,0,0
12,PAYMENT,44998.15,C172800124,750247.1,705248.95,M848284239,0.0,0.0,0,0
6,CASH_OUT,54095.79,C67795316,0.0,0.0,C1922859107,676346.01,629441.42,0,0
7,PAYMENT,4057.77,C8972378,20374.78,16317.01,M588108658,0.0,0.0,0,0
12,CASH_OUT,43349.76,C596176727,88689.16,45339.4,C1679002071,1114157.94,1157507.7,0,0
8,CASH_IN,45239.55,C1226766648,50428.0,95667.55,C3743274,0.0,0.0,0,0
11,CASH_IN,416653.6,C681647426,847.0,417500.6,C418699784,146051.0,0.0,0,0
8,CASH_OUT,376707.44,C228016920,0.0,0.0,C593210287,1727772.45,2724575.25,0,0
13,CASH_OUT,452216.53,C1832862334,17458.0,0.0,C226519980,0.0,452216.53,0,0
12,CASH_IN,235846.44,C1928813982,2388025.63,2623872.07,C1581546537,1715689.41,2015385.78,0,0
12,CASH_IN,222372.59,C1206392352,13637.0,236009.59,C996793947,1376861.97,1328906.23,0,0
11,CASH_OUT,89450.88,C209354787,0.0,0.0,C1689374891,313822.65,244312.91,0,0
12,CASH_IN,78661.33,C526966118,5321705.98,5400367.31,C1324196239,2483711.19,2308667.1,0,0
9,CASH_OUT,15820.72,C2011371094,43134.67,27313.95,C836673222,1610.0,17430.72,0,0
10,CASH_IN,132359.07,C1918925619,10402128.45,10534487.52,C1639464943,1031629.5,1061150.69,0,0
12,CASH_OUT,122260.97,C283029999,0.0,0.0,C990053853,1026203.82,1148464.79,0,0
12,PAYMENT,178.21,C1061314544,270331.0,270152.79,M944525043,0.0,0.0,0,0
8,PAYMENT,10311.41,C1540477411,10039.0,0.0,M1283911679,0.0,0.0,0,0
10,CASH_OUT,103327.3,C907097462,0.0,0.0,C584814955,344299.15,486816.08,0,0
9,PAYMENT,7641.01,C586398248,0.0,0.0,M1582363281,0.0,0.0,0,0
13,TRANSFER,1004391.55,C13953858,2465.0,0.0,C197353092,3162551.02,4166942.57,0,0
8,CASH_OUT,59916.86,C319825710,0.0,0.0,C85102332,379547.16,537185.56,0,0
9,PAYMENT,23017.77,C2077952505,0.0,0.0,M1772918773,0.0,0.0,0,0
12,CASH_IN,4784.02,C831662009,4980711.84,4985495.86,C998875386,922735.26,1483750.58,0,0
10,PAYMENT,4982.81,C1253580119,20911.0,15928.19,M2131810578,0.0,0.0,0,0
10,CASH_IN,200378.56,C2085417116,360545.38,560923.94,C1254526270,1664515.48,1641191.86,0,0
10,PAYMENT,5773.39,C230852388,0.0,0.0,M1347041992,0.0,0.0,0,0
10,CASH_OUT,450720.04,C15681625,0.0,0.0,C738590621,4466006.8,5215441.3,0,0
9,CASH_OUT,497612.92,C360440233,970849.66,473236.74,C810367799,692654.31,2014843.57,0,0
8,CASH_IN,287022.66,C517681644,399741.27,686763.93,C1777285191,1066118.24,122017.44,0,0
10,CASH_OUT,135196.88,C2085198750,15685.61,0.0,C1466490916,20218.0,0.0,0,0
11,CASH_OUT,465455.27,C425043044,42138.0,0.0,C536721203,0.0,948566.71,0,0
11,TRANSFER,476688.75,C1841268260,0.0,0.0,C890377362,2844141.54,3320830.29,0,0
10,CASH_OUT,234746.5,C1471432656,0.0,0.0,C250652885,1188861.43,1423607.93,0,0
1,CASH_OUT,598674.03,C1272115420,0.0,0.0,C985934102,1184203.57,971418.91,0,0
10,PAYMENT,17966.76,C149305058,1445065.63,1427098.87,M2106027229,0.0,0.0,0,0
8,PAYMENT,14199.27,C876681835,150917.54,136718.27,M512939358,0.0,0.0,0,0
10,CASH_IN,118238.69,C1229668464,24919.0,143157.69,C842984696,0.0,405503.24,0,0
11,TRANSFER,722193.34,C1661786930,0.0,0.0,C1310642072,3910064.59,4632257.93,0,0
10,PAYMENT,13079.79,C835805475,0.0,0.0,M762100548,0.0,0.0,0,0
10,PAYMENT,6409.26,C1028999835,2056.0,0.0,M1321728073,0.0,0.0,0,0
12,PAYMENT,21283.66,C1304051984,191639.15,170355.49,M1167928748,0.0,0.0,0,0
11,PAYMENT,19369.74,C516023262,193926.63,174556.89,M1298488703,0.0,0.0,0,0
11,CASH_OUT,52055.75,C647348896,0.0,0.0,C1341708445,207634.43,290318.4,0,0
13,PAYMENT,8719.34,C1530740481,0.0,0.0,M1838681164,0.0,0.0,0,0
9,PAYMENT,12803.54,C1443133624,145691.44,132887.9,M1910145366,0.0,0.0,0,0
8,PAYMENT,6278.11,C998403106,23015.0,16736.89,M234569541,0.0,0.0,0,0
12,PAYMENT,756.51,C1236780318,0.0,0.0,M1658695767,0.0,0.0,0,0
10,PAYMENT,4563.12,C74133590,90296.53,85733.41,M528019625,0.0,0.0,0,0
9,CASH_OUT,352523.86,C1197567541,0.0,0.0,C2006081398,10673710.4,11906171.68,0,0
7,PAYMENT,2455.23,C982817772,0.0,0.0,M1363629044,0.0,0.0,0,0
12,PAYMENT,20695.0,C2089800933,445865.79,425170.78,M1573757711,0.0,0.0,0,0
9,PAYMENT,25711.66,C346061965,0.0,0.0,M1620460622,0.0,0.0,0,0
11,PAYMENT,2115.73,C1497732849,35529.22,33413.49,M1470429831,0.0,0.0,0,0
9,PAYMENT,6514.66,C962525880,0.0,0.0,M1947770512,0.0,0.0,0,0
11,PAYMENT,8337.52,C1189522606,733121.81,724784.3,M1144053304,0.0,0.0,0,0
12,CASH_OUT,40010.23,C1376171170,16942.0,0.0,C1554161403,749757.59,752670.03,0,0
10,CASH_OUT,165150.72,C1197703410,127.0,0.0,C131386938,195927.22,0.0,0,0
11,CASH_OUT,137989.99,C1658045298,0.0,0.0,C1644382725,768348.1,933413.26,0,0
7,TRANSFER,1104966.48,C1785954017,909418.64,0.0,C1354725727,2791665.3,4529886.44,0,0
13,CASH_OUT,108390.67,C708436985,0.0,0.0,C1277328743,3818221.95,3926612.62,0,0
9,CASH_OUT,56082.97,C2099997201,0.0,0.0,C2003348009,1548647.37,0.0,0,0
7,PAYMENT,10060.68,C1021978448,0.0,0.0,M226024831,0.0,0.0,0,0
2,CASH_IN,152991.7,C2040452328,6949346.16,7102337.86,C392292416,5209699.06,5056707.37,0,0
12,CASH_OUT,244241.45,C681762259,90876.0,0.0,C1701519711,0.0,701042.22,0,0
13,CASH_OUT,220620.36,C12373023,0.0,0.0,C634440506,8114231.47,8334851.83,0,0
13,PAYMENT,2210.71,C41597675,66031.01,63820.3,M1804996209,0.0,0.0,0,0
13,CASH_OUT,208818.79,C918836504,7583.0,0.0,C1298147262,3112149.95,3064941.52,0,0
12,CASH_OUT,83075.72,C1593637582,25966.0,0.0,C2069199801,762.0,46742.79,0,0
10,CASH_IN,222038.38,C1806272492,20850553.03,21072591.41,C1485516154,15854055.62,17487507.52,0,0
7,CASH_OUT,63322.59,C322905984,0.0,0.0,C998255530,415105.48,331925.12,0,0
10,TRANSFER,719263.71,C1732922164,23619.25,0.0,C316106307,1629678.81,5561859.25,0,0
11,PAYMENT,37337.25,C481825275,0.0,0.0,M1018412705,0.0,0.0,0,0
12,CASH_OUT,313812.26,C529858002,0.0,0.0,C925574515,606435.32,85054.2,0,0
10,CASH_OUT,138647.0,C1989234276,2442.0,0.0,C1312182967,83502.47,207457.02,0,0
8,CASH_OUT,215290.75,C1337245690,189.0,0.0,C1824348154,0.0,215290.75,0,0
10,CASH_IN,218612.99,C1755497714,11245.0,229857.99,C1176892022,606016.61,577444.97,0,0
1,PAYMENT,1246.74,C1002911155,1468.0,221.26,M1467977993,0.0,0.0,0,0
11,PAYMENT,16135.88,C180730615,0.0,0.0,M109302975,0.0,0.0,0,0
9,CASH_IN,293275.87,C1929043791,92956.0,386231.87,C1680630881,10833.93,0.0,0,0
10,CASH_IN,174855.05,C730863269,5362810.22,5537665.27,C1436823730,1014849.59,839994.55,0,0
12,CASH_IN,344508.42,C1634301310,3180587.65,3525096.06,C2024102912,515118.64,170610.23,0,0
9,CASH_IN,185626.09,C759350563,1003.0,186629.09,C275925618,172012.68,0.0,0,0
9,CASH_OUT,158657.08,C469297265,3091.0,0.0,C1196571825,421765.0,580422.08,0,0
9,PAYMENT,6618.25,C377366544,0.0,0.0,M364002482,0.0,0.0,0,0
12,PAYMENT,8734.1,C2085260004,0.0,0.0,M1201736375,0.0,0.0,0,0
10,CASH_OUT,228278.01,C670198701,0.0,0.0,C1714813968,1750415.25,3233812.42,0,0
12,CASH_IN,28501.82,C508961455,331365.0,359866.82,C1187639680,2292637.28,3373390.62,0,0
9,CASH_OUT,34255.55,C508093967,0.0,0.0,C781630209,463067.17,497322.72,0,0
9,CASH_OUT,24725.46,C388747613,72031.0,47305.54,C157316544,393272.35,1085827.62,0,0
11,CASH_IN,193762.75,C1673001851,17596715.44,17790478.2,C766671686,4784219.24,4590456.48,0,0
9,CASH_OUT,459248.1,C2105947950,0.0,0.0,C1452722471,3197038.27,3431371.36,0,0
11,CASH_IN,124694.34,C291900165,27255.63,151949.97,C1425067368,50601.0,0.0,0,0
10,PAYMENT,8663.06,C389482920,3143354.0,3134690.94,M903573719,0.0,0.0,0,0
10,PAYMENT,6322.77,C807776197,0.0,0.0,M1122031004,0.0,0.0,0,0
11,PAYMENT,15701.26,C1497519884,0.0,0.0,M899070131,0.0,0.0,0,0
9,PAYMENT,9023.2,C863375610,5529.0,0.0,M203029509,0.0,0.0,0,0
12,PAYMENT,26670.4,C661396842,11981.0,0.0,M1100120623,0.0,0.0,0,0
12,PAYMENT,17397.23,C1387860236,0.0,0.0,M1399860380,0.0,0.0,0,0
6,PAYMENT,13679.73,C401366570,21343.0,7663.27,M1378422371,0.0,0.0,0,0
12,CASH_OUT,539793.29,C1011937596,0.0,0.0,C76992889,2865883.85,3405677.14,0,0
11,TRANSFER,365372.73,C341160557,0.0,0.0,C1217206140,3559132.21,4066795.67,0,0
8,CASH_IN,97008.06,C1302043844,1790.0,98798.06,C645187727,489849.11,392841.05,0,0
13,PAYMENT,8568.05,C92960083,37477.0,28908.95,M167493996,0.0,0.0,0,0
13,CASH_OUT,665441.98,C1915702039,645.0,0.0,C1201202189,0.0,665441.98,0,0
9,CASH_OUT,218628.22,C680778032,15172.0,0.0,C936053020,56744.67,337984.44,0,0
9,PAYMENT,44896.3,C957792140,0.0,0.0,M234546403,0.0,0.0,0,0
9,CASH_IN,196227.82,C1742948107,5365.0,201592.82,C146680149,478435.48,282207.66,0,0
9,CASH_IN,1434.9,C1570501385,11225278.93,11226713.83,C1811787479,511016.58,1420277.45,0,0
10,PAYMENT,14303.66,C1305654154,98663.08,84359.42,M723504037,0.0,0.0,0,0
11,CASH_OUT,13525.75,C1970582751,5031.0,0.0,C344899519,21501.0,35026.75,0,0
13,CASH_OUT,277922.5,C1945584602,1403.0,0.0,C976598256,27910.08,224069.0,0,0
8,PAYMENT,4664.53,C1130637221,49413.0,44748.47,M325383786,0.0,0.0,0,0
9,CASH_IN,41357.25,C1409357366,59163.0,100520.25,C1423696633,1151831.73,1340300.19,0,0
9,PAYMENT,15368.53,C214217214,675691.14,660322.61,M2133514581,0.0,0.0,0,0
8,TRANSFER,180658.21,C1751285831,51619.0,0.0,C1457728035,10725.0,133584.06,0,0
8,PAYMENT,413.23,C1312745519,14944.0,14530.77,M1326356346,0.0,0.0,0,0
10,CASH_OUT,149573.55,C1636947246,0.0,0.0,C25537313,473820.0,981324.87,0,0
11,CASH_OUT,429768.89,C1908418325,109186.0,0.0,C34339657,0.0,429768.89,0,0
10,PAYMENT,7440.81,C1676292069,32261.0,24820.19,M197272390,0.0,0.0,0,0
11,CASH_IN,92373.08,C1851239739,6486025.01,6578398.09,C811587677,3898018.77,3805645.69,0,0
9,TRANSFER,249894.56,C1181421250,21273.0,0.0,C1475395523,150097.87,181719.86,0,0
7,PAYMENT,17005.29,C618065446,11591.0,0.0,M710977520,0.0,0.0,0,0
7,PAYMENT,12712.23,C77101558,27945.5,15233.27,M862525395,0.0,0.0,0,0
11,CASH_OUT,52298.51,C658451095,0.0,0.0,C90371734,843103.88,1088991.49,0,0
8,CASH_OUT,260037.68,C583730267,72847.0,0.0,C1002407179,0.0,260037.68,0,0
12,CASH_IN,49741.5,C1539680568,6359125.53,6408867.02,C446307903,1205591.4,944168.56,0,0
9,CASH_OUT,186482.05,C1641729702,0.0,0.0,C2040657244,2294938.73,4875641.22,0,0
8,PAYMENT,14364.99,C695105664,84046.97,69681.98,M1220573907,0.0,0.0,0,0
8,PAYMENT,7261.62,C1270277835,1684216.33,1676954.72,M38798233,0.0,0.0,0,0
11,CASH_OUT,71235.75,C740904487,43053.0,0.0,C1813913953,476930.62,548166.38,0,0
12,PAYMENT,10599.84,C545412198,0.0,0.0,M291977752,0.0,0.0,0,0
6,TRANSFER,368444.96,C1644524251,125506.0,0.0,C295372946,0.0,314262.63,0,0
10,TRANSFER,658525.69,C1915603970,11814.0,0.0,C1831294369,0.0,658525.69,0,0
12,PAYMENT,6850.85,C342714929,52879.0,46028.15,M2108495776,0.0,0.0,0,0
1,PAYMENT,6737.2,C1454026445,624.0,0.0,M1378497201,0.0,0.0,0,0
9,TRANSFER,121397.88,C1373965431,0.0,0.0,C467311030,588570.62,0.0,0,0
10,CASH_OUT,226099.44,C1381926305,0.0,0.0,C1425435004,687632.13,642253.62,0,0
11,CASH_OUT,96844.64,C601966967,20989.0,0.0,C543246661,807305.09,1005702.53,0,0
13,PAYMENT,12272.73,C207652959,776654.74,764382.0,M1958136364,0.0,0.0,0,0
10,PAYMENT,13896.15,C1726747051,159.0,0.0,M826469216,0.0,0.0,0,0
9,CASH_OUT,99831.05,C1396971118,0.0,0.0,C2063124058,551077.41,650908.46,0,0
12,CASH_OUT,91296.12,C65858451,10626.0,0.0,C2071512077,0.0,91296.12,0,0
11,PAYMENT,35522.27,C692442985,105.0,0.0,M1812171556,0.0,0.0,0,0
9,PAYMENT,11330.97,C1873659437,289999.66,278668.69,M1306491030,0.0,0.0,0,0
11,PAYMENT,2523.7,C944685644,0.0,0.0,M1372900220,0.0,0.0,0,0
